id,name,locationLatitude,locationLongitude,numberOfRides,rating
1,Kristi Enser,6.4675486,124.8060125,32,4.9
2,Gregoor Ostrich,49.8180135,9.9637931,51,3.6
3,Damaris Cathel,5.3622295,-0.6298922,35,4.6
4,Matthieu Stokes,10.2704687,-84.9531618,67,4.9
5,Adrea Veryan,21.356694,110.525677,65,4.7
6,Carmine Sutherington,-2.9135019,-79.8156667,95,3.5
7,Dene Pendlebery,49.3933184,16.6413357,44,3.7
8,Hersch Greiser,36.684789,118.479654,17,3.7
9,Nikolas Attrill,59.3043475,18.0873579,3,3.8
10,Vanny Paulus,-1.959951,32.929501,43,4.6
11,Reid Blyden,24.874132,118.675675,14,4.3
12,Cully Gatty,29.603667,119.048169,8,4
13,Minne Worland,13.5730766,123.0925437,17,4.3
14,Gordon Ramm,56.1263981,88.5278663,52,4.7
15,Therine Roscoe,51.159,21.64911,71,3.9
16,Pebrook Wellesley,-8.9859417,116.7437518,97,4.4
17,Giorgio Ladyman,5.7650768,73.4106543,31,3.8
18,Cam Wolpert,47.598744,85.732951,16,4.3
19,Lucilia Bellinger,40.8258113,43.9516138,4,4.9
20,Blinnie Gadney,57.14667,33.10753,30,3.7
21,Oberon Le - Count,-7.783297,110.363649,23,3.7
22,Esme Stenett,11.646909,124.8692275,89,4.9
23,Free Lang,10.6485481,-61.495357,80,5
24,Ardys Kisby,5.2991829,-72.9696779,69,3.9
25,Olimpia Miles,30.5383451,117.0666454,37,3.8
26,Bebe Gaishson,14.5508865,121.0075554,56,5
27,Willie Baty,29.4778934,106.4352907,42,4.8
28,Antonina Cogan,40.767544,114.886335,75,4
29,Bethena Swynley,23.5958633,120.2858846,67,4.2
30,Lory O'Shirine,30.00415,110.246747,6,3.6
31,Jana Marley,4.524233,-74.356481,13,3.6
32,Glory Sprigings,-14.331296,-170.7269854,9,4.1
33,Gaylor Ricardon,38.6276904,22.7650721,11,4.8
34,Sandie Godding,55.6613674,37.4429397,85,3.7
35,Tracey Yeomans,41.403128,119.64328,86,4.9
36,Benedetta Boggon,14.5823299,120.9946341,35,4.3
37,Jacquelynn Greswell,43.7441795,2.511999,64,4.5
38,Titos Blastock,-13.02483,-74.448357,63,3.9
39,Lydia Pinnijar,49.6321945,16.7112603,97,3.5
40,Jocelyne Benettini,21.1231158,-101.6968667,15,4.3
41,Lucille Duxfield,50.2145927,28.4037924,57,4.8
42,Leesa Imlock,37.9746194,23.6412944,83,4.1
43,Wenda Kolinsky,31.345009,115.809852,58,4.1
44,Carlyle Laxon,39.83333,22.3,76,3.8
45,Olivero Allsupp,56.7402899,24.7181651,25,3.6
46,Elke Howey,-7.759054,113.0396024,31,5
47,Pace Farrears,-4.0644217,35.3548545,40,4.8
48,Teresa Jinkinson,38.6024828,-121.4470463,43,4.3
49,Franky Conquer,29.910184,-81.5377013,8,4.6
50,Delmar Marrow,-20.0170955,-45.9795138,5,3.8
